"subjectid" "activity" "measurement" "mean"
"31" 1 "WALKING_DOWNSTAIRS" "bodybodyaccjerkmag" -0.0389168828969388
"32" 1 "WALKING_DOWNSTAIRS" "bodybodygyrojerkmag" -0.336941617894898
"33" 1 "WALKING_DOWNSTAIRS" "bodybodygyromag" -0.292035337933673
"34" 1 "WALKING_DOWNSTAIRS" "bodygyro" -0.175026215694388
"35" 1 "WALKING_DOWNSTAIRS" "bodygyrojerk" -0.189934873014728
"36" 1 "WALKING_DOWNSTAIRS" "bodygyrojerkmag" -0.300987244438776
"37" 1 "WALKING_DOWNSTAIRS" "bodygyromag" -0.150732811214286
"38" 1 "WALKING_DOWNSTAIRS" "gravityacc" -0.363395674051361
"39" 1 "WALKING_DOWNSTAIRS" "gravityaccmag" 0.0235363210185714
"40" 1 "SITTING" "bodyacc" -0.699593033476294
"41" 1 "SITTING" "bodyaccjerk" -0.732899460591064
"42" 1 "SITTING" "bodyaccjerkmag" -0.985742109787234
"43" 1 "SITTING" "bodyaccmag" -0.937960732287234
"44" 1 "SITTING" "bodybodyaccjerkmag" -0.98343415212766
"45" 1 "SITTING" "bodybodygyrojerkmag" -0.988423582234043
"46" 1 "SITTING" "bodybodygyromag" -0.94531698212766
"47" 1 "SITTING" "bodygyro" -0.728911386173936
"48" 1 "SITTING" "bodygyrojerk" -0.524963214528369
"49" 1 "SITTING" "bodygyrojerkmag" -0.990142534893617
"50" 1 "SITTING" "bodygyromag" -0.932712165212766
"51" 1 "SITTING" "gravityacc" -0.247508317673759
"52" 1 "SITTING" "gravityaccmag" -0.937807602446808
"53" 1 "STANDING" "bodyacc" -0.725035349961478
"54" 1 "STANDING" "bodyaccjerk" -0.73650673237861
"55" 1 "STANDING" "bodyaccjerkmag" -0.992732
"56" 1 "STANDING" "bodyaccmag" -0.983472825518868
"57" 1 "STANDING" "bodybodyaccjerkmag" -0.992539240471698
"58" 1 "STANDING" "bodybodygyrojerkmag" -0.99474325009434
"59" 1 "STANDING" "bodybodygyromag" -0.981541847735849
"60" 1 "STANDING" "bodygyro" -0.739770897458003
"61" 1 "STANDING" "bodygyrojerk" -0.528802339813208
"62" 1 "STANDING" "bodygyrojerkmag" -0.994850014622642
"63" 1 "STANDING" "bodygyromag" -0.977591910754717
"64" 1 "STANDING" "gravityacc" -0.377975709361321
"65" 1 "STANDING" "gravityaccmag" -0.983110568113208
"66" 1 "LAYING" "bodyacc" -0.648570851953117
"67" 1 "LAYING" "bodyaccjerk" -0.702190873819183
"68" 1 "LAYING" "bodyaccjerkmag" -0.9413209465
"69" 1 "LAYING" "bodyaccmag" -0.824285651215
"70" 1 "LAYING" "bodybodyaccjerkmag" -0.9275521682
"71" 1 "LAYING" "bodybodygyrojerkmag" -0.9375138071
"72" 1 "LAYING" "bodybodygyromag" -0.84325481254
"73" 1 "LAYING" "bodygyro" -0.677260262601
"74" 1 "LAYING" "bodygyrojerk" -0.511190713530333
"75" 1 "LAYING" "bodygyrojerkmag" -0.9496510064
"76" 1 "LAYING" "bodygyromag" -0.84688485888
"77" 1 "LAYING" "gravityacc" -0.2924051034
"78" 1 "LAYING" "gravityaccmag" -0.81853700818
"79" 2 "WALKING" "bodyacc" -0.22320940547452
"80" 2 "WALKING" "bodyaccjerk" -0.223012563613206
"81" 2 "WALKING" "bodyaccjerkmag" -0.222787569504237
"82" 2 "WALKING" "bodyaccmag" -0.403586600669492
"83" 2 "WALKING" "bodybodyaccjerkmag" -0.166578161131356
"84" 2 "WALKING" "bodybodygyrojerkmag" -0.570676924067797
"85" 2 "WALKING" "bodybodygyromag" -0.59124882720339
"86" 2 "WALKING" "bodygyro" -0.389801833774506
"87" 2 "WALKING" "bodygyrojerk" -0.274398358070057
"88" 2 "WALKING" "bodygyrojerkmag" -0.552855050847458
"89" 2 "WALKING" "bodygyromag" -0.499784504576271
"90" 2 "WALKING" "gravityacc" -0.377624266355932
"91" 2 "WALKING" "gravityaccmag" -0.356475881525424
"92" 2 "WALKING_UPSTAIRS" "bodyacc" -0.0919397452059549
"93" 2 "WALKING_UPSTAIRS" "bodyaccjerk" -0.262880419124531
"94" 2 "WALKING_UPSTAIRS" "bodyaccjerkmag" -0.269329152811458
"95" 2 "WALKING_UPSTAIRS" "bodyaccmag" -0.206336626930729
"96" 2 "WALKING_UPSTAIRS" "bodybodyaccjerkmag" -0.224967487932292
"97" 2 "WALKING_UPSTAIRS" "bodybodygyrojerkmag" -0.611309349583333
"98" 2 "WALKING_UPSTAIRS" "bodybodygyromag" -0.444616293333333
"99" 2 "WALKING_UPSTAIRS" "bodygyro" -0.276084165651215
"100" 2 "WALKING_UPSTAIRS" "bodygyrojerk" -0.291291430169444
"101" 2 "WALKING_UPSTAIRS" "bodygyrojerkmag" -0.585054078854167
"102" 2 "WALKING_UPSTAIRS" "bodygyromag" -0.29862282028125
"103" 2 "WALKING_UPSTAIRS" "gravityacc" -0.426260826863889
"104" 2 "WALKING_UPSTAIRS" "gravityaccmag" -0.156649862408333
"105" 2 "WALKING_DOWNSTAIRS" "bodyacc" 0.052541056733156
"106" 2 "WALKING_DOWNSTAIRS" "bodyaccjerk" -0.0245685749379965
"107" 2 "WALKING_DOWNSTAIRS" "bodyaccjerkmag" 0.117636174239362
"108" 2 "WALKING_DOWNSTAIRS" "bodyaccmag" 0.144370873451596
"109" 2 "WALKING_DOWNSTAIRS" "bodybodyaccjerkmag" 0.224864071059574
"110" 2 "WALKING_DOWNSTAIRS" "bodybodygyrojerkmag" -0.361937145957447
"111" 2 "WALKING_DOWNSTAIRS" "bodybodygyromag" -0.346707649457447
"112" 2 "WALKING_DOWNSTAIRS" "bodygyro" -0.241323746179965
"113" 2 "WALKING_DOWNSTAIRS" "bodygyrojerk" -0.183812911593262
"114" 2 "WALKING_DOWNSTAIRS" "bodygyrojerkmag" -0.377030273446809
"115" 2 "WALKING_DOWNSTAIRS" "bodygyromag" -0.21851634873117
"116" 2 "WALKING_DOWNSTAIRS" "gravityacc" -0.386617728279433
"117" 2 "WALKING_DOWNSTAIRS" "gravityaccmag" 0.152768727693617
"118" 2 "SITTING" "bodyacc" -0.712731840406703
"119" 2 "SITTING" "bodyaccjerk" -0.73091269574125
"120" 2 "SITTING" "bodyaccjerkmag" -0.985625290543478
"121" 2 "SITTING" "bodyaccmag" -0.959456104619565
"122" 2 "SITTING" "bodybodyaccjerkmag" -0.983999442391304
"123" 2 "SITTING" "bodybodygyrojerkmag" -0.989747429891304
"124" 2 "SITTING" "bodybodygyromag" -0.966613170652174
"125" 2 "SITTING" "bodygyro" -0.736738445388406
"126" 2 "SITTING" "bodygyrojerk" -0.524153184053985
"127" 2 "SITTING" "bodygyrojerkmag" -0.99033820673913
"128" 2 "SITTING" "bodygyromag" -0.953674355652174
"129" 2 "SITTING" "gravityacc" -0.309596814941826
"130" 2 "SITTING" "gravityaccmag" -0.960487534021739
"131" 2 "STANDING" "bodyacc" -0.711702095765278
"132" 2 "STANDING" "bodyaccjerk" -0.727583162880154
"133" 2 "STANDING" "bodyaccjerkmag" -0.978582178796296
"134" 2 "STANDING" "bodyaccmag" -0.962080423564815
"135" 2 "STANDING" "bodybodyaccjerkmag" -0.976112877777778
"136" 2 "STANDING" "bodybodygyrojerkmag" -0.977802062777778
"137" 2 "STANDING" "bodybodygyromag" -0.959282315277778
"138" 2 "STANDING" "bodygyro" -0.728615302981867
"139" 2 "STANDING" "bodygyrojerk" -0.523139906160185
"140" 2 "STANDING" "bodygyrojerkmag" -0.980578166018519
"141" 2 "STANDING" "bodygyromag" -0.958704861111111
"142" 2 "STANDING" "gravityacc" -0.375032381092593
"143" 2 "STANDING" "gravityaccmag" -0.961875073148148
"144" 2 "LAYING" "bodyacc" -0.72188098324375
"145" 2 "LAYING" "bodyaccjerk" -0.731733280569809
"146" 2 "LAYING" "bodyaccjerkmag" -0.986629886145833
"147" 2 "LAYING" "bodyaccmag" -0.975135245625
"148" 2 "LAYING" "bodybodyaccjerkmag" -0.984971301979167
"149" 2 "LAYING" "bodybodygyrojerkmag" -0.989870681354167
"150" 2 "LAYING" "bodybodygyromag" -0.966605675729167
"151" 2 "LAYING" "bodygyro" -0.731886514793403
"152" 2 "LAYING" "bodygyrojerk" -0.529808443705556
"153" 2 "LAYING" "bodygyrojerkmag" -0.9907425846875
"154" 2 "LAYING" "bodygyromag" -0.955587811770833
"155" 2 "LAYING" "gravityacc" -0.340306573993056
"156" 2 "LAYING" "gravityaccmag" -0.9751546990625
"157" 3 "WALKING" "bodyacc" -0.200713631367356
"158" 3 "WALKING" "bodyaccjerk" -0.213524803812328
"159" 3 "WALKING" "bodyaccjerkmag" -0.209962836369828
"160" 3 "WALKING" "bodyaccmag" -0.332380971465517
"161" 3 "WALKING" "bodybodyaccjerkmag" -0.138308253685
"162" 3 "WALKING" "bodybodygyrojerkmag" -0.578419326982759
"163" 3 "WALKING" "bodybodygyromag" -0.601199532586207
"164" 3 "WALKING" "bodygyro" -0.398497577378161
"165" 3 "WALKING" "bodygyrojerk" -0.291010657045489
"166" 3 "WALKING" "bodygyrojerkmag" -0.566753389396552
"167" 3 "WALKING" "bodygyromag" -0.513961218706897
"168" 3 "WALKING" "gravityacc" -0.392634417795977
"169" 3 "WALKING" "gravityaccmag" -0.291559634913793
"170" 3 "WALKING_UPSTAIRS" "bodyacc" -0.18103201441791
"171" 3 "WALKING_UPSTAIRS" "bodyaccjerk" -0.354019033240862
"172" 3 "WALKING_UPSTAIRS" "bodyaccjerkmag" -0.43796087559322
"173" 3 "WALKING_UPSTAIRS" "bodyaccmag" -0.32036819404661
"174" 3 "WALKING_UPSTAIRS" "bodybodyaccjerkmag" -0.446765050338983
"175" 3 "WALKING_UPSTAIRS" "bodybodygyrojerkmag" -0.728455607457627
"176" 3 "WALKING_UPSTAIRS" "bodybodygyromag" -0.479696693079661
"177" 3 "WALKING_UPSTAIRS" "bodygyro" -0.385467046523023
"178" 3 "WALKING_UPSTAIRS" "bodygyrojerk" -0.343640792825706
"179" 3 "WALKING_UPSTAIRS" "bodygyrojerkmag" -0.688444720847458
"180" 3 "WALKING_UPSTAIRS" "bodygyromag" -0.37810423270339
"181" 3 "WALKING_UPSTAIRS" "gravityacc" -0.404266353531073
"182" 3 "WALKING_UPSTAIRS" "gravityaccmag" -0.258806163771186
"183" 3 "WALKING_DOWNSTAIRS" "bodyacc" -0.109590260895595
"184" 3 "WALKING_DOWNSTAIRS" "bodyaccjerk" -0.197485661205658
"185" 3 "WALKING_DOWNSTAIRS" "bodyaccjerkmag" -0.148935848053061
"186" 3 "WALKING_DOWNSTAIRS" "bodyaccmag" -0.0772136805586224
"187" 3 "WALKING_DOWNSTAIRS" "bodybodyaccjerkmag" -0.104290132670408
"188" 3 "WALKING_DOWNSTAIRS" "bodybodygyrojerkmag" -0.60059401
"189" 3 "WALKING_DOWNSTAIRS" "bodybodygyromag" -0.327408728195918
"190" 3 "WALKING_DOWNSTAIRS" "bodygyro" -0.304741691341327
"191" 3 "WALKING_DOWNSTAIRS" "bodygyrojerk" -0.249980364008844
"192" 3 "WALKING_DOWNSTAIRS" "bodygyrojerkmag" -0.546243394081633
"193" 3 "WALKING_DOWNSTAIRS" "bodygyromag" -0.230544600295918
"194" 3 "WALKING_DOWNSTAIRS" "gravityacc" -0.364703983278912
"195" 3 "WALKING_DOWNSTAIRS" "gravityaccmag" -0.0519733098376531
"196" 3 "SITTING" "bodyacc" -0.667752962146955
"197" 3 "SITTING" "bodyaccjerk" -0.720127478842067
"198" 3 "SITTING" "bodyaccjerkmag" -0.967815418557692
"199" 3 "SITTING" "bodyaccmag" -0.886124341971154
"200" 3 "SITTING" "bodybodyaccjerkmag" -0.966228872307692
"201" 3 "SITTING" "bodybodygyrojerkmag" -0.977293954134615
"202" 3 "SITTING" "bodybodygyromag" -0.936057286326923
"203" 3 "SITTING" "bodygyro" -0.711951460376987
"204" 3 "SITTING" "bodygyrojerk" -0.520606559849904
"205" 3 "SITTING" "bodygyrojerkmag" -0.977385363942308
"206" 3 "SITTING" "bodygyromag" -0.922436238057692
"207" 3 "SITTING" "gravityacc" -0.265260139683365
"208" 3 "SITTING" "gravityaccmag" -0.882842525096154
"209" 3 "STANDING" "bodyacc" -0.681866426593609
"210" 3 "STANDING" "bodyaccjerk" -0.712296095246885
"211" 3 "STANDING" "bodyaccjerkmag" -0.954036941803279
"212" 3 "STANDING" "bodyaccmag" -0.922344782868852
"213" 3 "STANDING" "bodybodyaccjerkmag" -0.948417141065574
"214" 3 "STANDING" "bodybodygyrojerkmag" -0.958726614180328
"215" 3 "STANDING" "bodybodygyromag" -0.898561040327869
"216" 3 "STANDING" "bodygyro" -0.688106911903142
"217" 3 "STANDING" "bodygyrojerk" -0.509341576961202
"218" 3 "STANDING" "bodygyrojerkmag" -0.960009553278689
"219" 3 "STANDING" "bodygyromag" -0.887107285409836
"220" 3 "STANDING" "gravityacc" -0.368258095377322
"221" 3 "STANDING" "gravityaccmag" -0.920287061311475
"222" 3 "LAYING" "bodyacc" -0.714541422396102
"223" 3 "LAYING" "bodyaccjerk" -0.725960036763442
"224" 3 "LAYING" "bodyaccjerkmag" -0.977802945645161
"225" 3 "LAYING" "bodyaccmag" -0.967721003790323
"226" 3 "LAYING" "bodybodyaccjerkmag" -0.975627487903226
"227" 3 "LAYING" "bodybodygyrojerkmag" -0.983423204677419
"228" 3 "LAYING" "bodybodygyromag" -0.960014290322581
"229" 3 "LAYING" "bodygyro" -0.725073076088105
"230" 3 "LAYING" "bodygyrojerk" -0.52636420197043
"231" 3 "LAYING" "bodygyrojerkmag" -0.984926440403226
"232" 3 "LAYING" "bodygyromag" -0.952919931209677
"233" 3 "LAYING" "gravityacc" -0.307424279973118
"234" 3 "LAYING" "gravityaccmag" -0.968504761290323
"235" 4 "WALKING" "bodyacc" -0.275327314332583
"236" 4 "WALKING" "bodyaccjerk" -0.319672620033194
"237" 4 "WALKING" "bodyaccjerkmag" -0.341809917916667
"238" 4 "WALKING" "bodyaccmag" -0.485426715958333
"239" 4 "WALKING" "bodybodyaccjerkmag" -0.319523256
"240" 4 "WALKING" "bodybodygyrojerkmag" -0.741047750916667
"241" 4 "WALKING" "bodybodygyromag" -0.601611394425
"242" 4 "WALKING" "bodygyro" -0.452485731348569
"243" 4 "WALKING" "bodygyrojerk" -0.358333471221944
"244" 4 "WALKING" "bodygyrojerkmag" -0.7057252025
"245" 4 "WALKING" "bodygyromag" -0.525454156113333
"246" 4 "WALKING" "gravityacc" -0.318141340816667
"247" 4 "WALKING" "gravityaccmag" -0.419864838666667
"248" 4 "WALKING_UPSTAIRS" "bodyacc" -0.172924879731064
"249" 4 "WALKING_UPSTAIRS" "bodyaccjerk" -0.348825097940801
"250" 4 "WALKING_UPSTAIRS" "bodyaccjerkmag" -0.419091866346154
"251" 4 "WALKING_UPSTAIRS" "bodyaccmag" -0.235886908132692
"252" 4 "WALKING_UPSTAIRS" "bodybodyaccjerkmag" -0.447365186153846
"253" 4 "WALKING_UPSTAIRS" "bodybodygyrojerkmag" -0.767479354711538
"254" 4 "WALKING_UPSTAIRS" "bodybodygyromag" -0.564141850480769
"255" 4 "WALKING_UPSTAIRS" "bodygyro" -0.344389028388782
"256" 4 "WALKING_UPSTAIRS" "bodygyrojerk" -0.36223312026891
"257" 4 "WALKING_UPSTAIRS" "bodygyrojerkmag" -0.721124416057692
"258" 4 "WALKING_UPSTAIRS" "bodygyromag" -0.405376771153846
"259" 4 "WALKING_UPSTAIRS" "gravityacc" -0.33400052663141
"260" 4 "WALKING_UPSTAIRS" "gravityaccmag" -0.182858117919231
"261" 4 "WALKING_DOWNSTAIRS" "bodyacc" -0.167995839109907
"262" 4 "WALKING_DOWNSTAIRS" "bodyaccjerk" -0.232993974162241
"263" 4 "WALKING_DOWNSTAIRS" "bodyaccjerkmag" -0.222855167862556
"264" 4 "WALKING_DOWNSTAIRS" "bodyaccmag" -0.103458985578333
"265" 4 "WALKING_DOWNSTAIRS" "bodybodyaccjerkmag" -0.227861031756667
"266" 4 "WALKING_DOWNSTAIRS" "bodybodygyrojerkmag" -0.653611693777778
"267" 4 "WALKING_DOWNSTAIRS" "bodybodygyromag" -0.443443728777778
"268" 4 "WALKING_DOWNSTAIRS" "bodygyro" -0.390533629637963
"269" 4 "WALKING_DOWNSTAIRS" "bodygyrojerk" -0.28581486945963
"270" 4 "WALKING_DOWNSTAIRS" "bodygyrojerkmag" -0.614961279222222
"271" 4 "WALKING_DOWNSTAIRS" "bodygyromag" -0.3635894591
"272" 4 "WALKING_DOWNSTAIRS" "gravityacc" -0.298452887771481
"273" 4 "WALKING_DOWNSTAIRS" "gravityaccmag" -0.0655587883922222
"274" 4 "SITTING" "bodyacc" -0.6898033607165
"275" 4 "SITTING" "bodyaccjerk" -0.720916981947417
"276" 4 "SITTING" "bodyaccjerkmag" -0.966340697
"277" 4 "SITTING" "bodyaccmag" -0.92473011735
"278" 4 "SITTING" "bodybodyaccjerkmag" -0.9620426266
"279" 4 "SITTING" "bodybodygyrojerkmag" -0.9764047586
"280" 4 "SITTING" "bodybodygyromag" -0.9388101534
"281" 4 "SITTING" "bodygyro" -0.718047286188333
"282" 4 "SITTING" "bodygyrojerk" -0.5184900383672
"283" 4 "SITTING" "bodygyrojerkmag" -0.978148576
"284" 4 "SITTING" "bodygyromag" -0.9274808034
"285" 4 "SITTING" "gravityacc" -0.279005937640518
"286" 4 "SITTING" "gravityaccmag" -0.9250513324
"287" 4 "STANDING" "bodyacc" -0.673242313820223
"288" 4 "STANDING" "bodyaccjerk" -0.717848067914424
"289" 4 "STANDING" "bodyaccjerkmag" -0.960765110267857
"290" 4 "STANDING" "bodyaccmag" -0.902602198035714
"291" 4 "STANDING" "bodybodyaccjerkmag" -0.958085891160714
"292" 4 "STANDING" "bodybodygyrojerkmag" -0.965450678482143
"293" 4 "STANDING" "bodybodygyromag" -0.900701785
"294" 4 "STANDING" "bodygyro" -0.694791385802381
"295" 4 "STANDING" "bodygyrojerk" -0.513656672790655
"296" 4 "STANDING" "bodygyrojerkmag" -0.965948429107143
"297" 4 "STANDING" "bodygyromag" -0.893063209107143
"298" 4 "STANDING" "gravityacc" -0.290455980815476
"299" 4 "STANDING" "gravityaccmag" -0.898727367589286
"300" 4 "LAYING" "bodyacc" -0.703908104443981
"301" 4 "LAYING" "bodyaccjerk" -0.717304618975273
"302" 4 "LAYING" "bodyaccjerkmag" -0.965441101203704
"303" 4 "LAYING" "bodyaccmag" -0.94060687425463
"304" 4 "LAYING" "bodybodyaccjerkmag" -0.960162122314815
"305" 4 "LAYING" "bodybodygyrojerkmag" -0.9830763525
"306" 4 "LAYING" "bodybodygyromag" -0.954328492685185
"307" 4 "LAYING" "bodygyro" -0.718897082581173
"308" 4 "LAYING" "bodygyrojerk" -0.526713790604938
"309" 4 "LAYING" "bodygyrojerkmag" -0.98388335787037
"310" 4 "LAYING" "bodygyromag" -0.93863412212963
"311" 4 "LAYING" "gravityacc" -0.338526909660494
"312" 4 "LAYING" "gravityaccmag" -0.94292490987963
"313" 5 "WALKING" "bodyacc" -0.16900866497054
"314" 5 "WALKING" "bodyaccjerk" -0.255360170723467
"315" 5 "WALKING" "bodyaccjerkmag" -0.285287650428571
"316" 5 "WALKING" "bodyaccmag" -0.340036705687946
"317" 5 "WALKING" "bodybodyaccjerkmag" -0.287583518575893
"318" 5 "WALKING" "bodybodygyrojerkmag" -0.501859437857143
"319" 5 "WALKING" "bodybodygyromag" -0.537002167857143
"320" 5 "WALKING" "bodygyro" -0.32522940440497
"321" 5 "WALKING" "bodygyrojerk" -0.211477803209821
"322" 5 "WALKING" "bodygyrojerkmag" -0.466866115803571
"323" 5 "WALKING" "bodygyromag" -0.424054953571429
"324" 5 "WALKING" "gravityacc" -0.338475624896131
"325" 5 "WALKING" "gravityaccmag" -0.26775870389375
"326" 5 "WALKING_UPSTAIRS" "bodyacc" -0.0596835151980851
"327" 5 "WALKING_UPSTAIRS" "bodyaccjerk" -0.251004278399805
"328" 5 "WALKING_UPSTAIRS" "bodyaccjerkmag" -0.27879501143617
"329" 5 "WALKING_UPSTAIRS" "bodyaccmag" -0.129133408428989
"330" 5 "WALKING_UPSTAIRS" "bodybodyaccjerkmag" -0.321645807457447
"331" 5 "WALKING_UPSTAIRS" "bodybodygyrojerkmag" -0.571914579255319
"332" 5 "WALKING_UPSTAIRS" "bodybodygyromag" -0.416504791382979
"333" 5 "WALKING_UPSTAIRS" "bodygyro" -0.282495591339007
"334" 5 "WALKING_UPSTAIRS" "bodygyrojerk" -0.24528840557961
"335" 5 "WALKING_UPSTAIRS" "bodygyrojerkmag" -0.515738116702128
"336" 5 "WALKING_UPSTAIRS" "bodygyromag" -0.295102399759574
"337" 5 "WALKING_UPSTAIRS" "gravityacc" -0.35463925656727
"338" 5 "WALKING_UPSTAIRS" "gravityaccmag" -0.0465900907835106
"339" 5 "WALKING_DOWNSTAIRS" "bodyacc" 0.0031287102858156
"340" 5 "WALKING_DOWNSTAIRS" "bodyaccjerk" -0.111152604618404
"341" 5 "WALKING_DOWNSTAIRS" "bodyaccjerkmag" -0.0465049534595745
"342" 5 "WALKING_DOWNSTAIRS" "bodyaccmag" 0.153789190182979
"343" 5 "WALKING_DOWNSTAIRS" "bodybodyaccjerkmag" -0.040275878572766
"344" 5 "WALKING_DOWNSTAIRS" "bodybodygyrojerkmag" -0.470412834787234
"345" 5 "WALKING_DOWNSTAIRS" "bodybodygyromag" -0.416739844493617
"346" 5 "WALKING_DOWNSTAIRS" "bodygyro" -0.265772609590372
"347" 5 "WALKING_DOWNSTAIRS" "bodygyrojerk" -0.196876635341667
"348" 5 "WALKING_DOWNSTAIRS" "bodygyrojerkmag" -0.423749416702128
"349" 5 "WALKING_DOWNSTAIRS" "bodygyromag" -0.28935407028617
"350" 5 "WALKING_DOWNSTAIRS" "gravityacc" -0.312079630099088
"351" 5 "WALKING_DOWNSTAIRS" "gravityaccmag" 0.208280614797872
"352" 5 "SITTING" "bodyacc" -0.692316460535985
"353" 5 "SITTING" "bodyaccjerk" -0.71938771902003
"354" 5 "SITTING" "bodyaccjerkmag" -0.967538943636364
"355" 5 "SITTING" "bodyaccmag" -0.930219311477273
"356" 5 "SITTING" "bodybodyaccjerkmag" -0.965492812840909
"357" 5 "SITTING" "bodybodygyrojerkmag" -0.971136886818182
"358" 5 "SITTING" "bodybodygyromag" -0.93975359375
"359" 5 "SITTING" "bodygyro" -0.717933944045644
"360" 5 "SITTING" "bodygyrojerk" -0.514927662383333
"361" 5 "SITTING" "bodygyrojerkmag" -0.97212044875
"362" 5 "SITTING" "bodygyromag" -0.932858228522727
"363" 5 "SITTING" "gravityacc" -0.27931761590947
"364" 5 "SITTING" "gravityaccmag" -0.929458675113636
"365" 5 "STANDING" "bodyacc" -0.666766999402574
"366" 5 "STANDING" "bodyaccjerk" -0.710216705943884
"367" 5 "STANDING" "bodyaccjerkmag" -0.949912806875
"368" 5 "STANDING" "bodyaccmag" -0.894316266383929
"369" 5 "STANDING" "bodybodyaccjerkmag" -0.942713931607143
"370" 5 "STANDING" "bodybodygyrojerkmag" -0.949241450446429
"371" 5 "STANDING" "bodybodygyromag" -0.886728957767857
"372" 5 "STANDING" "bodygyro" -0.690285270650104
"373" 5 "STANDING" "bodygyrojerk" -0.503703511349702
"374" 5 "STANDING" "bodygyrojerkmag" -0.953188312232143
"375" 5 "STANDING" "bodygyromag" -0.88385667125
"376" 5 "STANDING" "gravityacc" -0.293425606019048
"377" 5 "STANDING" "gravityaccmag" -0.892939251160714
"378" 5 "LAYING" "bodyacc" -0.713884527102564
"379" 5 "LAYING" "bodyaccjerk" -0.726109102044263
"380" 5 "LAYING" "bodyaccjerkmag" -0.978809199615385
"381" 5 "LAYING" "bodyaccmag" -0.962537755673077
"382" 5 "LAYING" "bodybodyaccjerkmag" -0.976869157307692
"383" 5 "LAYING" "bodybodygyrojerkmag" -0.984026259423077
"384" 5 "LAYING" "bodybodygyromag" -0.963760066057692
"385" 5 "LAYING" "bodygyro" -0.724824945239119
"386" 5 "LAYING" "bodygyrojerk" -0.528375185918269
"387" 5 "LAYING" "bodygyrojerkmag" -0.98509540125
"388" 5 "LAYING" "bodygyromag" -0.95261311125
"389" 5 "LAYING" "gravityacc" -0.362278599102564
"390" 5 "LAYING" "gravityaccmag" -0.962695334615385
"391" 6 "WALKING" "bodyacc" -0.151655357616725
"392" 6 "WALKING" "bodyaccjerk" -0.182668075188158
"393" 6 "WALKING" "bodyaccjerkmag" -0.132859995447368
"394" 6 "WALKING" "bodyaccmag" -0.264161145539474
"395" 6 "WALKING" "bodybodyaccjerkmag" -0.0759506968149123
"396" 6 "WALKING" "bodybodygyrojerkmag" -0.387289720302632
"397" 6 "WALKING" "bodybodygyromag" -0.420164723
"398" 6 "WALKING" "bodygyro" -0.276756994504825
"399" 6 "WALKING" "bodygyrojerk" -0.157292556088889
"400" 6 "WALKING" "bodygyrojerkmag" -0.34299941272807
"401" 6 "WALKING" "bodygyromag" -0.323405378947368
"402" 6 "WALKING" "gravityacc" -0.353778667476608
"403" 6 "WALKING" "gravityaccmag" -0.2167874405
"404" 6 "WALKING_UPSTAIRS" "bodyacc" -0.0653231642658333
"405" 6 "WALKING_UPSTAIRS" "bodyaccjerk" -0.200139870253578
"406" 6 "WALKING_UPSTAIRS" "bodyaccjerkmag" -0.188675081147059
"407" 6 "WALKING_UPSTAIRS" "bodyaccmag" -0.0913702900153431
"408" 6 "WALKING_UPSTAIRS" "bodybodyaccjerkmag" -0.173801537709216
